,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60,subject
115,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,115
116,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,116
117,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,117
118,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,118
124,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,124
125,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,125
129,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,129
130,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,130
133,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,133
134,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,134
136,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,136
138,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,138
141,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,141
